mac,host_name,ip,time
38:8B:59:81:96:55,GCC_FR,192.168.0.40,
F0:5C:77:2E:A5:85,GCC_AT,192.168.0.41,
6C:AD:F8:C8:F9:AA,GCC_BR,192.168.0.42,
F0:5C:77:16:96:11,GCC_CT,192.168.0.43,
84:EA:ED:BD:E4:F0,Roku_BR,192.168.0.44,
10:59:32:AD:21:C1,Roku-6WH,192.168.0.45,
84:EA:ED:D0:22:3C,Roku_FR,192.168.0.46,
98:90:96:D2:63:C2,OX7020,192.168.0.50,
20:1E:88:3E:9A:5E,chris-HP-G7,192.168.0.51,
00:13:EF:F1:43:2D,elsie-desktop,192.168.0.52,
88:AE:DD:2F:F3:24,acer,192.168.0.54,
A0:88:B4:89:71:2C,chris_e5520,192.168.0.55,
20:16:B9:B8:1D:E8,Jo-work-pc,192.168.0.56,
00:26:9E:02:0B:93,CQ71,192.168.0.57,
00:26:5E:29:B3:8D,CQ71_wifi,192.168.0.58,
14:AC:60:18:80:5F,Wilf,192.168.0.59,
4C:E0:DB:1F:5F:DF,Chris-phone,192.168.0.60,
06:4D:31:08:34:C1,Elsie-phone,192.168.0.61,
FE:8A:57:A5:CB:D7,Jo-phone,192.168.0.63,
4C:AA:16:FC:C1:D5,toshtab,192.168.0.64,
D4:C9:4B:5E:78:F9,AVAILABLE_2,192.168.0.65,
C0:D2:DD:7F:BB:8F,Galaxy-Tab-A,192.168.0.66,
90:FD:61:0A:40:4A,AVAILABLE_1,192.168.0.67,
DC:4F:22:F7:F2:C2,Galaxy-Tab-A,192.168.0.68,
7C:11:CB:9B:B0:67,eide_phone,192.168.0.69,
14:C1:4E:35:7F:A9,GHM_CT,192.168.0.71,
58:B0:D4:36:91:EE,Jo_eReader,192.168.0.72,
94:9A:A9:9C:B0:60,Xbox-One,192.168.0.73,
D8:EB:46:BA:62:20,GHH_KT,192.168.0.74,
00:F6:20:63:9E:F3,GHM_AT,192.168.0.75,
38:8B:59:53:B2:15,GHM_ER,192.168.0.76,
44:07:0B:9D:7C:60,GHM_BR,192.168.0.77,
00:F6:20:63:B3:99,GHM_FR,192.168.0.78,
DC:4F:22:F7:F2:C2,wiFiSocket1,192.168.0.80,
84:0D:8E:58:5E:12,wiFiSocket2,192.168.0.81,
84:0D:8E:5A:5D:67,wiFiSocket3,192.168.0.82,
84:0D:8E:58:5E:18,wiFiSocket4,192.168.0.83,
60:01:94:C9:03:5E,wiFiSocket5,192.168.0.84,
DC:4F:22:A8:18:C3,wiFiSocket6,192.168.0.85,
60:01:94:D9:20:2D,wiFiSocket7,192.168.0.86,
60:01:94:D9:2B:B5,wiFiSocket8,192.168.0.87,
60:01:94:C7:08:CC,KT_light_1,192.168.0.88,
60:01:94:C8:BB:0F,KT_light_2,192.168.0.89,
EC:0B:AE:10:7B:03,BG_11_7b-03,192.168.0.90,
C8:F7:42:FC:54:BD,BG_1_54-bd,192.168.0.91,
24:DF:A7:A4:C6:EC,BG_A1_c6-ec,192.168.0.92,
A0:43:B0:D6:C8:79,BG_10_c8-79,192.168.0.93,
24:DF:A7:B9:86:27,BG_4_86-27,192.168.0.94,
DC:4F:22:A8:18:C2,KT_light_3,192.168.0.98,
A0:43:B0:97:ED:66,BG_9_ed-66,192.168.0.99,
DC:A6:32:7C:0F:CC,iotstack,192.168.0.100,
DC:A6:32:B4:5D:07,openhabian2,192.168.0.101,
DC:A6:32:6E:74:0D,mythtv,192.168.0.102,
52:54:00:DF:19:C8,AVAILABLE3,192.168.0.105,
52:54:00:64:8B:B3,nextcloud,192.168.0.107,
DC:A6:32:69:B5:43,AVAILABLE4,192.168.0.108,
DC:A6:32:54:F9:D0,backuppi,192.168.0.109,
00:4E:01:A8:C2:47,stack1,192.168.0.110,
B0:0C:D1:57:D3:C6,debian,192.168.0.111,
DC:A6:32:0D:60:36,kodi_CT,192.168.0.112,
B8:27:EB:1B:C3:E1,kodi_BR,192.168.0.113,
B8:27:EB:5D:15:36,kodi_FR,192.168.0.114,
B8:27:EB:08:40:63,kodi_FR,192.168.0.115,
64:E4:A5:B3:3A:58,LGwebOSTV,192.168.0.117,
52:54:00:6A:27:58,AVAILABLE5,192.168.0.120,
24:05:0F:5B:8C:C3,zone1,192.168.0.151,
94:44:52:7C:50:23,zone3,192.168.0.155,
DC:A6:32:31:61:93,dev,192.168.0.199,
DC:A6:32:58:F4:70,wifi-plug-extender,192.168.0.200,
14:EB:B6:63:22:0B,CAM_C210,192.168.0.202,
B8:27:EB:D5:8D:47,AVAILABLE6,192.168.0.209,
60:01:94:74:7A:DA,Boiler,192.168.0.210,
60:01:94:73:F9:B2,ER_trv,192.168.0.211,
EC:FA:BC:8A:26:80,AT_trv,192.168.0.212,
EC:FA:BC:8A:49:87,BR_trv,192.168.0.213,
5C:CF:7F:7A:7F:DE,OF_trv,192.168.0.214,
EC:FA:BC:86:7C:6C,HL_trv,192.168.0.215,
DC:4F:22:0D:CC:5A,FR_trv,192.168.0.221,
B4:E6:2D:86:BC:75,soil1,192.168.0.227,
B4:E6:2D:1C:BE:1C,SHED_sensor,192.168.0.228,
DC:4F:22:0E:89:6E,Outside_Sensor,192.168.0.229,
B4:E6:2D:96:7A:F9,RF_Bridge,192.168.0.230,
30:AE:A4:8C:18:24,irbridge,192.168.0.231,
B0:BE:76:6F:3E:F8,cpe210AP,192.168.0.250,
74:44:01:74:AA:8B,ngWRTWifiExtender,192.168.0.251,
D4:6E:0E:29:23:CA,Brian_C7,192.168.0.252,
D4:6E:0E:32:09:C2,CPE_RX,192.168.0.254,
DC:46:28:10:27:7D,else-phone2,192.168.0.62,
